strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
tensile,0.0,0percent,103,strain,SW+ED,165.0,83.44743,-224.3656,-779.8386,-815.1861879368,29.2512947001,8.2145506472
tensile,0.0,0percent,103,strain,SW+ED,180.0,0.1482932,0.150867,-785.4436,-785.4436,-0.0962305758,0.1883916164
tensile,0.0,0percent,103,strain,SW+PD,0.0,-0.07875972,-0.07915719,898.9297,-898.9297,-0.0501890938,-0.0997497323
tensile,0.0,0percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,30.0,161.6479,-484.0079,818.1832,-963.7113187261,-32.8305678627,0.2959259434
tensile,0.0,0percent,103,strain,SW+PD,45.0,264.1748,-666.9054,692.7209,-996.2726696224,-16.6173779031,39.7242157393
tensile,0.0,0percent,103,strain,SW+PD,60.0,284.3522,-789.1652,525.0068,-988.7418295652,35.3752731542,20.2042346897
tensile,0.0,0percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,90.0,278.9148,-868.1146,0.4920787,-911.7664259268,0.4920787,-9.9201282655
tensile,0.0,0percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+ED,0.0,0.4481108,-0.213741,802.2347,-802.2347,-0.344477594,0.3575243927
tensile,0.2,0.2percent,103,strain,SW+ED,15.0,91.10466,-210.6054,791.4519,-823.6518437802,-15.9752068334,19.8301941635
tensile,0.2,0.2percent,103,strain,SW+ED,30.0,152.475,-374.3678,729.0387,-833.0526884476,15.1878182268,26.2649928076
tensile,0.2,0.2percent,103,strain,SW+ED,45.0,222.4556,-555.9981,595.113,-843.525886318,-1.9090105735,35.2178752052
tensile,0.2,0.2percent,103,strain,SW+ED,60.0,251.3688,-692.7712,408.8398,-842.4297011514,-14.2894775622,19.3958932742
tensile,0.2,0.2percent,103,strain,SW+ED,75.0,264.82,-757.1026,223.7319,-832.572821401,8.5370917334,11.8134471462
tensile,0.2,0.2percent,103,strain,SW+ED,90.0,263.5919,-773.4713,3.067072,-817.1343815086,3.067072,5.4721317543
tensile,0.2,0.2percent,103,strain,SW+ED,105.0,268.8149,-759.1232,-224.3744,-835.8109574598,-8.3346007374,14.9643722296
tensile,0.2,0.2percent,103,strain,SW+ED,120.0,252.5981,-693.4739,-408.3292,-843.0883857831,15.2593594065,20.3398964013
tensile,0.2,0.2percent,103,strain,SW+ED,135.0,228.4232,-556.1093,-595.4854,-845.1982040373,3.0546751622,40.8440731271
tensile,0.2,0.2percent,103,strain,SW+ED,150.0,157.1691,-374.9773,-730.2282,-835.1141392788,-13.99628065,30.5254662536
tensile,0.2,0.2percent,103,strain,SW+ED,165.0,89.63452,-210.9788,-790.4393,-822.6451061803,16.1303969274,18.3174174519
tensile,0.2,0.2percent,103,strain,SW+ED,180.0,-0.4481108,0.2137422,-802.2347,-802.2347,-0.3444787324,-0.3575240132
tensile,0.2,0.2percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,0.2,0.2percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+ED,0.0,0.493799,0.3596131,802.5016,-802.5016,0.1850059871,0.5821785111
tensile,0.4,0.4percent,103,strain,SW+ED,15.0,84.60486,-219.3924,791.332,-825.1615844497,-22.0728937444,10.8852490828
tensile,0.4,0.4percent,103,strain,SW+ED,30.0,140.4489,-381.2329,726.9985,-832.6407329051,11.8209461569,12.6850973604
tensile,0.4,0.4percent,103,strain,SW+ED,45.0,219.804,-556.1487,591.2734,-840.3189888873,-4.1321275369,32.6547226705
tensile,0.4,0.4percent,103,strain,SW+ED,60.0,248.4098,-686.4212,419.0395,-841.5021382673,-1.9763498001,18.5967857095
tensile,0.4,0.4percent,103,strain,SW+ED,75.0,265.0783,-754.1552,230.1384,-831.6089713306,15.4278514312,12.9905417596
tensile,0.4,0.4percent,103,strain,SW+ED,90.0,258.5824,-771.9838,1.765936,-814.1390721088,1.765936,1.1900915746
tensile,0.4,0.4percent,103,strain,SW+ED,105.0,266.3402,-755.1023,-230.7801,-833.0283884814,-15.7118564769,13.8881858963
tensile,0.4,0.4percent,103,strain,SW+ED,120.0,249.6213,-686.9285,-418.6312,-842.0465606867,2.7621364603,19.5856931794
tensile,0.4,0.4percent,103,strain,SW+ED,135.0,222.96,-555.2893,-592.5277,-841.3351129307,3.3744035089,35.9205333013
tensile,0.4,0.4percent,103,strain,SW+ED,150.0,145.3461,-381.1375,-728.0505,-834.2808547445,-11.0841718006,17.3611573365
tensile,0.4,0.4percent,103,strain,SW+ED,165.0,82.55335,-218.7618,-790.6393,-824.1697443927,21.0476835382,9.1384290393
tensile,0.4,0.4percent,103,strain,SW+ED,180.0,-0.4937991,-0.3596138,-802.5016,-802.5016,0.1850066196,-0.5821788274
tensile,0.4,0.4percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,0.4,0.4percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+ED,0.0,0.1412633,0.009184169,799.2401,-799.2401,-0.03595851,0.1369184226
tensile,0.6,0.6percent,103,strain,SW+ED,15.0,78.95502,-226.4873,787.0368,-822.2923869717,-27.9602814159,3.2817358611
tensile,0.6,0.6percent,103,strain,SW+ED,30.0,129.0621,-382.6273,725.5452,-830.2431490182,13.0670832646,1.4416823853
tensile,0.6,0.6percent,103,strain,SW+ED,45.0,202.0101,-551.9244,591.4073,-833.6010868996,2.7751376468,17.1097878853
tensile,0.6,0.6percent,103,strain,SW+ED,60.0,230.442,-683.9418,420.4609,-835.2551186193,3.2716600205,2.3350890698
tensile,0.6,0.6percent,103,strain,SW+ED,75.0,252.219,-752.1073,232.9093,-826.5216179074,19.6596504408,1.438741467
tensile,0.6,0.6percent,103,strain,SW+ED,90.0,249.1403,-767.5,1.271523,-806.8995117475,1.271523,-6.3495689366
tensile,0.6,0.6percent,103,strain,SW+ED,105.0,256.2276,-753.7604,-232.9583,-829.2735681089,-18.9729961396,4.7188772156
tensile,0.6,0.6percent,103,strain,SW+ED,120.0,235.2217,-685.1816,-419.4791,-837.0917930136,-1.077570576,6.4774514452
tensile,0.6,0.6percent,103,strain,SW+ED,135.0,210.0654,-552.5937,-591.356,-835.8150122489,-0.4886631418,24.5400652123
tensile,0.6,0.6percent,103,strain,SW+ED,150.0,134.3034,-382.8873,-726.0708,-831.6503830942,-11.6808823468,6.3317969362
tensile,0.6,0.6percent,103,strain,SW+ED,165.0,77.46353,-226.065,-785.8642,-820.9339797986,27.4212153241,2.0003271944
tensile,0.6,0.6percent,103,strain,SW+ED,180.0,-0.1412632,-0.009184307,-799.2401,-799.2401,-0.0359583475,-0.1369183714
tensile,0.6,0.6percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,0.6,0.6percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+ED,0.0,0.2801703,-0.2142588,796.2291,-796.2291,-0.2918613731,0.1980383025
tensile,0.8,0.8percent,103,strain,SW+ED,15.0,80.38832,-224.3665,782.8101,-817.8062823045,-27.5486256298,5.3121394783
tensile,0.8,0.8percent,103,strain,SW+ED,30.0,122.9078,-382.3532,723.6789,-827.5237884909,14.0445538619,-4.3101212053
tensile,0.8,0.8percent,103,strain,SW+ED,45.0,184.7933,-544.3389,596.933,-828.5700452319,15.6206991961,3.1752429986
tensile,0.8,0.8percent,103,strain,SW+ED,60.0,218.9545,-681.9381,416.7811,-828.623029647,2.8516313329,-7.9292847418
tensile,0.8,0.8percent,103,strain,SW+ED,75.0,239.9454,-747.4992,235.2214,-819.1483628946,24.0289702238,-8.7478086913
tensile,0.8,0.8percent,103,strain,SW+ED,90.0,242.5654,-762.7347,0.4372944,-800.2995852886,0.4372944,-11.0801465796
tensile,0.8,0.8percent,103,strain,SW+ED,105.0,241.5264,-748.8935,-236.0849,-821.1324511862,-24.3912963502,-7.6888567713
tensile,0.8,0.8percent,103,strain,SW+ED,120.0,220.4993,-682.6393,-416.1601,-829.3116851364,-1.7369668664,-6.6854976925
tensile,0.8,0.8percent,103,strain,SW+ED,135.0,189.3523,-543.9451,-597.7675,-829.9153801609,-15.455525485,7.6248206486
tensile,0.8,0.8percent,103,strain,SW+ED,150.0,127.721,-382.7961,-723.8881,-828.6760806634,-12.4671252739,0.1160239674
tensile,0.8,0.8percent,103,strain,SW+ED,165.0,79.27689,-223.2831,-781.8466,-816.5186318119,26.4657267035,4.6003455621
tensile,0.8,0.8percent,103,strain,SW+ED,180.0,-0.2801699,0.2142589,-796.2291,-796.2291,-0.2918613415,-0.1980378915
tensile,0.8,0.8percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,0.8,0.8percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+ED,0.0,0.310433,-0.1631667,792.0518,-792.0518,-0.2529610572,0.2429047612
tensile,1.0,1percent,103,strain,SW+ED,15.0,71.63042,-216.8054,778.4839,-811.0541648203,-19.0645333588,-0.605304216
tensile,1.0,1percent,103,strain,SW+ED,30.0,119.1012,-379.0446,718.3819,-820.76516884,15.1568264862,-6.875107861
tensile,1.0,1percent,103,strain,SW+ED,45.0,169.2013,-537.9327,599.8887,-822.8761539513,25.494581503,-9.59080867
tensile,1.0,1percent,103,strain,SW+ED,60.0,213.6977,-680.2049,417.0011,-825.8694265718,4.695458928,-12.3682371389
tensile,1.0,1percent,103,strain,SW+ED,75.0,229.2285,-746.3459,230.9809,-813.7205007935,21.0932728474,-18.5500472457
tensile,1.0,1percent,103,strain,SW+ED,90.0,232.3139,-764.7361,1.862617,-798.9564710979,1.862617,-21.4384716605
tensile,1.0,1percent,103,strain,SW+ED,105.0,228.7165,-747.5197,-231.8535,-814.8655752449,-21.6898330679,-19.406961246
tensile,1.0,1percent,103,strain,SW+ED,120.0,215.3414,-680.7739,-417.5067,-827.0398535585,-4.6035291844,-10.9888200008
tensile,1.0,1percent,103,strain,SW+ED,135.0,171.5394,-537.3701,-600.5519,-823.4905186692,-25.8181232198,-7.1947825096
tensile,1.0,1percent,103,strain,SW+ED,150.0,123.1785,-379.0804,-718.772,-821.7646645163,-14.2058491931,-3.0183624039
tensile,1.0,1percent,103,strain,SW+ED,165.0,70.1177,-214.9563,-777.4265,-809.4549620895,17.1817073908,-1.4556596525
tensile,1.0,1percent,103,strain,SW+ED,180.0,-0.3104329,0.1631666,-792.0518,-792.0518,-0.2529609307,-0.242904698
tensile,1.0,1percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
tensile,1.0,1percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
