strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
compressive,-0.4,m0.4percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+ED,0.0,0.3058435,0.3278401,747.4507,-747.4507,0.2143002205,0.3938207627
compressive,-0.4,m0.4percent,103,strain,SW+ED,15.0,108.9333,-226.4483,740.2544,-779.548078004,-49.189662117,31.7339622842
compressive,-0.4,m0.4percent,103,strain,SW+ED,30.0,188.6302,-395.7513,684.0229,-809.9275857908,-34.7899290413,53.8027707507
compressive,-0.4,m0.4percent,103,strain,SW+ED,45.0,278.7657,-561.3845,570.5886,-842.3891448817,-35.4550082262,86.9349973479
compressive,-0.4,m0.4percent,103,strain,SW+ED,60.0,290.3164,-671.1456,425.9872,-843.9023972824,4.6603729419,63.1834460701
compressive,-0.4,m0.4percent,103,strain,SW+ED,75.0,277.0668,-728.7495,251.1861,-817.4377262537,41.0152075677,32.3978192334
compressive,-0.4,m0.4percent,103,strain,SW+ED,90.0,279.8937,-740.0047,1.48649,-790.5402588421,1.48649,31.5204452966
compressive,-0.4,m0.4percent,103,strain,SW+ED,105.0,279.4374,-730.2574,-249.0351,-818.9868881147,-38.373231834,34.1699280114
compressive,-0.4,m0.4percent,103,strain,SW+ED,120.0,294.7461,-671.9776,-427.0384,-846.3246783406,-4.4756895268,67.1227269742
compressive,-0.4,m0.4percent,103,strain,SW+ED,135.0,284.079,-562.083,-571.2393,-844.5059173074,36.6515518869,91.7547512208
compressive,-0.4,m0.4percent,103,strain,SW+ED,150.0,192.9784,-396.2617,-684.7433,-811.4810852555,36.0398690436,57.7664328155
compressive,-0.4,m0.4percent,103,strain,SW+ED,165.0,109.7271,-226.6616,-738.4544,-777.9267537949,50.0934637424,32.4195757037
compressive,-0.4,m0.4percent,103,strain,SW+ED,180.0,-0.3058439,-0.3278401,-747.4507,-747.4507,0.2143000941,-0.3938211422
compressive,-0.4,m0.4percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,90.0,nan,nan,nan,nan,nan,nan
