plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,reference,SW+ED,80.0,261.7848,-760.0785,169.6595,-821.1060634639,27.4936182472,7.9929413911
103,reference,SW+ED,85.0,266.6457,-763.0566,95.68954,-813.4841984022,24.8844131797,11.6626381246
103,reference,SW+ED,90.0,273.291,-763.8141,-0.214627,-811.039881888,-0.214627,17.7273807124
103,reference,SW+ED,95.0,269.0047,-764.9512,-93.73117,-815.8471936468,-22.7118272286,13.3014568992
103,reference,SW+ED,100.0,265.643,-761.1915,-166.3984,-822.7811570067,-23.8868463364,11.301189788
103,reference,SW+ED,105.0,267.8082,-747.2114,-232.9842,-826.8163689423,-19.658214325,17.7761746567
103,reference,SW+ED,110.0,273.4803,-731.3339,-301.8368,-836.4635631149,-16.7601744532,28.1781075465
103,reference,SW+ED,115.0,274.4698,-708.094,-364.1547,-841.3799409535,-9.4583451818,36.4659313293
103,reference,SW+ED,120.0,265.2366,-680.6136,-418.7368,-841.1875669452,2.1442598156,36.396614203
103,reference,SW+ED,125.0,274.9137,-641.5784,-487.0262,-849.1407699318,0.0255590864,57.9211314386
103,reference,SW+ED,130.0,264.2493,-602.5245,-538.5197,-848.0415164869,8.6037818782,60.1539208261
103,reference,SW+ED,135.0,245.8966,-558.9197,-587.6599,-845.4571845742,14.3805839313,56.5320693536
103,reference,SW+ED,140.0,223.6515,-508.725,-633.4746,-840.9521875226,16.6962617491,51.301472367
103,reference,SW+ED,145.0,188.7139,-446.8874,-681.1137,-835.3351327842,5.4967071287,37.7115208769
103,reference,SW+ED,150.0,161.3209,-390.3753,-715.1821,-830.044204382,7.3145345178,29.5949344293
103,reference,SW+ED,155.0,138.2328,-330.9783,-743.5635,-825.0707464022,9.9487946951,26.4746201937
103,reference,SW+ED,160.0,114.2141,-274.7229,-760.2978,-815.9382118519,18.8097596588,21.4780001312
103,reference,SW+ED,165.0,89.49246,-214.4351,-781.7385,-815.0778023294,21.506144197,17.0896694749
103,reference,SW+ED,170.0,69.77939,-146.563,-792.0803,-808.0229398816,21.1171568652,19.8512517704
103,reference,SW+ED,175.0,27.72231,-73.00117,-792.2632,-796.0484258989,8.674371658,3.2146955747
103,reference,SW+ED,180.0,0.2453429,1.272419,-792.6208,-792.6208,-1.1295384162,0.6351269293
