cutoff_shell,series,curve_index,point_index,k_path_fraction,energy_ev,source_pdf
1,DFT,1,65,0.52539824,-7.26319993,band_1.pdf
1,DFT,1,66,0.53110727,-7.46369997,band_1.pdf
1,DFT,1,67,0.53678846,-7.64599998,band_1.pdf
1,DFT,1,68,0.54246965,-7.80899996,band_1.pdf
1,DFT,1,69,0.54815083,-7.95199995,band_1.pdf
1,DFT,1,70,0.55383202,-8.07399996,band_1.pdf
1,DFT,1,71,0.55951320,-8.17459996,band_1.pdf
1,DFT,1,72,0.56519439,-8.25329995,band_1.pdf
1,DFT,1,73,0.57087557,-8.30979995,band_1.pdf
1,DFT,1,74,0.57658460,-8.34379994,band_1.pdf
1,DFT,1,75,0.58226579,-8.35509996,band_1.pdf
1,DFT,1,76,0.58922803,-8.33809993,band_1.pdf
1,DFT,1,77,0.59619027,-8.28719993,band_1.pdf
1,DFT,1,78,0.60315250,-8.20269998,band_1.pdf
1,DFT,1,79,0.61011474,-8.08519997,band_1.pdf
1,DFT,1,80,0.61707697,-7.93539997,band_1.pdf
1,DFT,1,81,0.62403921,-7.75429997,band_1.pdf
1,DFT,1,82,0.63100145,-7.54319993,band_1.pdf
1,DFT,1,83,0.63796368,-7.30359995,band_1.pdf
1,DFT,1,84,0.64492592,-7.03709996,band_1.pdf
1,DFT,1,85,0.65188816,-6.74559993,band_1.pdf
1,DFT,1,86,0.65885040,-6.43139999,band_1.pdf
1,DFT,1,87,0.67277487,-5.74579995,band_1.pdf
1,DFT,1,88,0.68669934,-5.00589997,band_1.pdf
1,DFT,1,89,0.70758605,-3.87119997,band_1.pdf
1,DFT,1,90,0.71454829,-3.50980000,band_1.pdf
1,DFT,1,91,0.72151053,-3.48439998,band_1.pdf
1,DFT,1,92,0.72847276,-3.51169997,band_1.pdf
1,DFT,1,93,0.73543500,-3.52880000,band_1.pdf
1,DFT,1,94,0.74239724,-3.53749998,band_1.pdf
1,DFT,1,95,0.74935947,-3.53720000,band_1.pdf
1,DFT,1,96,0.75632171,-3.52719995,band_1.pdf
1,DFT,1,97,0.76328395,-3.50879996,band_1.pdf
1,DFT,1,98,0.77720842,-3.45099999,band_1.pdf
1,DFT,1,99,0.81201961,-3.26869998,band_1.pdf
1,DFT,1,100,0.81898184,-3.23629998,band_1.pdf
1,DFT,1,101,0.82594408,-3.21080001,band_1.pdf
1,DFT,1,102,0.83290632,-3.19450000,band_1.pdf
1,DFT,1,103,0.83986855,-3.18939999,band_1.pdf
1,DFT,1,104,0.84683079,-3.19749996,band_1.pdf
1,DFT,1,105,0.85379303,-3.21999998,band_1.pdf
1,DFT,1,106,0.86075526,-3.25799997,band_1.pdf
1,DFT,1,107,0.86771750,-3.31140001,band_1.pdf
1,DFT,1,108,0.87467974,-3.37950000,band_1.pdf
1,DFT,1,109,0.88860421,-3.53389995,band_1.pdf
1,DFT,1,110,0.90252868,-3.75329998,band_1.pdf
1,DFT,1,111,0.93733987,-4.33599995,band_1.pdf
1,DFT,1,112,0.94430211,-4.43999995,band_1.pdf
1,DFT,1,113,0.95126434,-4.53559995,band_1.pdf
1,DFT,1,114,0.95822658,-4.62129997,band_1.pdf
1,DFT,1,115,0.96518881,-4.69579999,band_1.pdf
1,DFT,1,116,0.97215105,-4.75819997,band_1.pdf
1,DFT,1,117,0.97911329,-4.80749998,band_1.pdf
1,DFT,1,118,0.98607553,-4.84319997,band_1.pdf
1,DFT,1,119,0.99303776,-4.86479995,band_1.pdf
1,DFT,1,120,1.00000000,-4.87199994,band_1.pdf
1,DFT,2,0,0.00000000,-2.53119996,band_1.pdf
1,DFT,2,1,0.01606884,-2.52199999,band_1.pdf
1,DFT,2,2,0.05628272,-2.48559998,band_1.pdf
1,DFT,2,3,0.06430322,-2.46929997,band_1.pdf
1,DFT,2,4,0.07235157,-2.44599999,band_1.pdf
1,DFT,2,5,0.08039991,-2.41519999,band_1.pdf
1,DFT,2,6,0.08842041,-2.39800000,band_1.pdf
1,DFT,2,7,0.09646875,-2.54969997,band_1.pdf
1,DFT,2,8,0.11253760,-2.91680001,band_1.pdf
1,DFT,2,9,0.13665478,-3.47819997,band_1.pdf
1,DFT,2,10,0.14470313,-3.22810000,band_1.pdf
1,DFT,2,11,0.15275148,-3.02049998,band_1.pdf
1,DFT,2,12,0.16079982,-2.87829996,band_1.pdf
1,DFT,2,13,0.16882032,-2.79579998,band_1.pdf
1,DFT,2,14,0.17686866,-2.76240000,band_1.pdf
1,DFT,2,15,0.18491701,-2.76559998,band_1.pdf
1,DFT,2,16,0.19293751,-2.79359999,band_1.pdf
1,DFT,2,17,0.22510304,-2.95810000,band_1.pdf
1,DFT,2,18,0.23315139,-2.98029999,band_1.pdf
1,DFT,2,19,0.24117188,-2.98830000,band_1.pdf
1,DFT,2,20,0.24685307,-2.98339996,band_1.pdf
1,DFT,2,21,0.25256210,-2.97049995,band_1.pdf
1,DFT,2,22,0.25824329,-2.94889998,band_1.pdf
1,DFT,2,23,0.26392447,-2.91859996,band_1.pdf
1,DFT,2,24,0.26960566,-2.87969999,band_1.pdf
1,DFT,2,25,0.27528684,-2.83219999,band_1.pdf
1,DFT,2,26,0.28096803,-2.77590001,band_1.pdf
1,DFT,2,27,0.29233040,-2.64400001,band_1.pdf
1,DFT,2,28,0.29801159,-2.58949998,band_1.pdf
1,DFT,2,29,0.30372062,-2.54259998,band_1.pdf
1,DFT,2,30,0.30940180,-2.50760001,band_1.pdf
1,DFT,2,31,0.31508299,-2.48899999,band_1.pdf
1,DFT,2,32,0.32076417,-2.49080000,band_1.pdf
1,DFT,2,33,0.32644536,-2.51540000,band_1.pdf
1,DFT,2,34,0.33212655,-2.56350001,band_1.pdf
1,DFT,2,35,0.33780773,-2.63309998,band_1.pdf
1,DFT,2,36,0.34348892,-2.72069996,band_1.pdf
1,DFT,2,37,0.35487914,-2.92879998,band_1.pdf
1,DFT,2,38,0.36056032,-2.98959996,band_1.pdf
1,DFT,2,39,0.36624151,-3.09959995,band_1.pdf
1,DFT,2,40,0.37192269,-3.19790000,band_1.pdf
1,DFT,2,41,0.37760388,-3.28400000,band_1.pdf
1,DFT,2,42,0.38328506,-3.35759998,band_1.pdf
1,DFT,2,43,0.38896625,-3.41829996,band_1.pdf
1,DFT,2,44,0.39467528,-3.46579996,band_1.pdf
1,DFT,2,45,0.40035647,-3.49979995,band_1.pdf
1,DFT,2,46,0.40603765,-3.52029999,band_1.pdf
1,DFT,2,47,0.41171884,-3.52719995,band_1.pdf
1,DFT,2,48,0.42308121,-3.51669996,band_1.pdf
1,DFT,2,49,0.43444358,-3.48570000,band_1.pdf
1,DFT,2,50,0.44583380,-3.43519997,band_1.pdf
1,DFT,2,51,0.45719617,-3.36709998,band_1.pdf
1,DFT,2,52,0.46855854,-3.28389999,band_1.pdf
1,DFT,2,53,0.48562994,-3.13799999,band_1.pdf
1,DFT,2,54,0.53110727,-2.72629996,band_1.pdf
1,DFT,2,55,0.54246965,-2.64369998,band_1.pdf
1,DFT,2,56,0.55383202,-2.57899999,band_1.pdf
1,DFT,2,57,0.55951320,-2.55510000,band_1.pdf
1,DFT,2,58,0.56519439,-2.53830000,band_1.pdf
1,DFT,2,59,0.57087557,-2.53039999,band_1.pdf
1,DFT,2,60,0.59619027,-2.53539999,band_1.pdf
1,DFT,2,61,0.60315250,-2.54869998,band_1.pdf
1,DFT,2,62,0.61011474,-2.56989997,band_1.pdf
1,DFT,2,63,0.61707697,-2.59879996,band_1.pdf
1,DFT,2,64,0.62403921,-2.63569996,band_1.pdf
