plane,series,angle_deg,total_energy_ev,relative_energy_microev
103,w_rank1_2_3_4,335.0,122.14175484980986,-1.6623849745656116
103,w_rank1_2_3_4,340.0,122.14175555245484,-0.9597399923677585
103,w_rank1_2_3_4,345.0,122.14175601936667,-0.4928281640559362
103,w_rank1_2_3_4,350.0,122.14175631655587,-0.19563896103136358
103,w_rank1_2_3_4,355.0,122.14175645825766,-0.05393717117385677
103,w_rank1_2_3_4,360.0,122.14175651219482,-1.4210854715202004e-08
103,w_rank1_2_3_4_5,0.0,122.0399962387237,0.0
103,w_rank1_2_3_4_5,5.0,122.03999623419763,-0.004526071961663547
103,w_rank1_2_3_4_5,10.0,122.03999623594068,-0.00278302536571573
103,w_rank1_2_3_4_5,15.0,122.0399962898845,0.05116079648814775
103,w_rank1_2_3_4_5,20.0,122.03999642655187,0.1878281636891188
103,w_rank1_2_3_4_5,25.0,122.03999660455594,0.36583223561592604
103,w_rank1_2_3_4_5,30.0,122.03999680725418,0.5685304813596304
103,w_rank1_2_3_4_5,35.0,122.03999697174818,0.7330244784498063
103,w_rank1_2_3_4_5,40.0,122.03999707418139,0.835457683479035
103,w_rank1_2_3_4_5,45.0,122.03999710582812,0.8671044184893617
103,w_rank1_2_3_4_5,50.0,122.03999708569097,0.8469672678756979
103,w_rank1_2_3_4_5,55.0,122.03999695601101,0.7172873068839181
103,w_rank1_2_3_4_5,60.0,122.03999679412645,0.5554027495691116
103,w_rank1_2_3_4_5,65.0,122.03999661078416,0.37206045533366705
103,w_rank1_2_3_4_5,70.0,122.03999643610081,0.19737710488243465
103,w_rank1_2_3_4_5,75.0,122.03999628966153,0.05093782817766623
103,w_rank1_2_3_4_5,80.0,122.0399961903693,-0.04835440847728023
103,w_rank1_2_3_4_5,85.0,122.0399961293126,-0.10941110417661548
103,w_rank1_2_3_4_5,90.0,122.03999608431019,-0.15441351308709272
103,w_rank1_2_3_4_5,95.0,122.03999612931261,-0.10941108996576077
103,w_rank1_2_3_4_5,100.0,122.03999619036927,-0.04835443689898966
103,w_rank1_2_3_4_5,105.0,122.03999628966199,0.05093828292501712
103,w_rank1_2_3_4_5,110.0,122.03999643610085,0.1973771475149988
103,w_rank1_2_3_4_5,115.0,122.0399966107844,0.3720606969181972
103,w_rank1_2_3_4_5,120.0,122.0399967941764,0.5554527007234356
103,w_rank1_2_3_4_5,125.0,122.03999695601095,0.7172872500404992
103,w_rank1_2_3_4_5,130.0,122.03999708569168,0.8469679784184336
103,w_rank1_2_3_4_5,135.0,122.0399971058282,0.86710450375449
103,w_rank1_2_3_4_5,140.0,122.03999707418228,0.8354585787628821
103,w_rank1_2_3_4_5,145.0,122.03999697174844,0.7330247342451912
103,w_rank1_2_3_4_5,150.0,122.03999680725413,0.5685304245162115
103,w_rank1_2_3_4_5,155.0,122.03999660455564,0.365831937187977
103,w_rank1_2_3_4_5,160.0,122.03999642655187,0.1878281636891188
103,w_rank1_2_3_4_5,165.0,122.0399962898846,0.05116089596413076
103,w_rank1_2_3_4_5,170.0,122.03999623594058,-0.0027831248416987364
103,w_rank1_2_3_4_5,175.0,122.03999623419777,-0.004525929853116395
103,w_rank1_2_3_4_5,180.0,122.03999623871567,-8.029132914089132e-06
103,w_rank1_2_3_4_5,185.0,122.03999623419763,-0.004526071961663547
103,w_rank1_2_3_4_5,190.0,122.03999623594068,-0.00278302536571573
103,w_rank1_2_3_4_5,195.0,122.0399962898845,0.05116079648814775
103,w_rank1_2_3_4_5,200.0,122.03999642655187,0.1878281636891188
103,w_rank1_2_3_4_5,205.0,122.03999660455594,0.36583223561592604
103,w_rank1_2_3_4_5,210.0,122.03999680725418,0.5685304813596304
103,w_rank1_2_3_4_5,215.0,122.03999697174818,0.7330244784498063
103,w_rank1_2_3_4_5,220.0,122.03999707418139,0.835457683479035
103,w_rank1_2_3_4_5,225.0,122.03999710582812,0.8671044184893617
103,w_rank1_2_3_4_5,230.0,122.03999708569097,0.8469672678756979
103,w_rank1_2_3_4_5,235.0,122.03999695601101,0.7172873068839181
103,w_rank1_2_3_4_5,240.0,122.03999679417277,0.5554490627446285
103,w_rank1_2_3_4_5,245.0,122.03999661078416,0.37206045533366705
103,w_rank1_2_3_4_5,250.0,122.03999643610081,0.19737710488243465
103,w_rank1_2_3_4_5,255.0,122.03999628966153,0.05093782817766623
103,w_rank1_2_3_4_5,260.0,122.0399961903693,-0.04835440847728023
103,w_rank1_2_3_4_5,265.0,122.03999612931261,-0.10941108996576077
103,w_rank1_2_3_4_5,270.0,122.03999608431019,-0.15441351308709272
103,w_rank1_2_3_4_5,275.0,122.03999612931261,-0.10941108996576077
103,w_rank1_2_3_4_5,280.0,122.03999619036925,-0.048354451109844376
103,w_rank1_2_3_4_5,285.0,122.03999628966199,0.05093828292501712
103,w_rank1_2_3_4_5,290.0,122.03999643610082,0.19737711909328937
103,w_rank1_2_3_4_5,295.0,122.0399966107844,0.3720606969181972
103,w_rank1_2_3_4_5,300.0,122.03999679417402,0.5554503132998434
103,w_rank1_2_3_4_5,305.0,122.03999695601095,0.7172872500404992
103,w_rank1_2_3_4_5,310.0,122.03999708569168,0.8469679784184336
103,w_rank1_2_3_4_5,315.0,122.03999710582822,0.8671045179653447
103,w_rank1_2_3_4_5,320.0,122.03999707418231,0.8354586071845915
103,w_rank1_2_3_4_5,325.0,122.03999697174844,0.7330247342451912
103,w_rank1_2_3_4_5,330.0,122.0399968072541,0.5685303960945021
103,w_rank1_2_3_4_5,335.0,122.03999660455564,0.365831937187977
103,w_rank1_2_3_4_5,340.0,122.03999642655187,0.1878281636891188
103,w_rank1_2_3_4_5,345.0,122.0399962898846,0.05116089596413076
103,w_rank1_2_3_4_5,350.0,122.03999623594058,-0.0027831248416987364
103,w_rank1_2_3_4_5,355.0,122.03999623419777,-0.004525929853116395
103,w_rank1_2_3_4_5,360.0,122.0399962387237,0.0
103,w_rank1_2_3_4_5_6,0.0,122.03999504965725,0.0
103,w_rank1_2_3_4_5_6,5.0,122.03999504674285,-0.0029144047175577725
103,w_rank1_2_3_4_5_6,10.0,122.03999506690829,0.01725103970784403
103,w_rank1_2_3_4_5_6,15.0,122.03999515118633,0.10152908203053812
103,w_rank1_2_3_4_5_6,20.0,122.03999531872027,0.26906302252882597
103,w_rank1_2_3_4_5_6,25.0,122.03999551703342,0.46737616798964154
103,w_rank1_2_3_4_5_6,30.0,122.03999573347261,0.6838153581156803
103,w_rank1_2_3_4_5_6,35.0,122.03999594941958,0.8997623268669486
103,w_rank1_2_3_4_5_6,40.0,122.03999609966849,1.0500112352929136
103,w_rank1_2_3_4_5_6,45.0,122.03999618306788,1.1334106346794215
103,w_rank1_2_3_4_5_6,50.0,122.03999620713464,1.1574773850497877
103,w_rank1_2_3_4_5_6,55.0,122.0399960882269,1.038569649836063
103,w_rank1_2_3_4_5_6,60.0,122.0399959467082,0.8970509526307069
